Name,Value,Comment
AuthRolesAdminService_CreateRoleToPermissionsAsync_Success,Successfully added the new role {0}.,AuthPermissions project
AuthRolesAdminService_CreateRoleToPermissionsAsync_BadRoleName,The RoleName isn't filled in,
AuthRolesAdminService_CreateRoleToPermissionsAsync_DuplicateRoleName,There is already a Role with the name of '{0}'.,
AuthRolesAdminService_NoPermissions,You must provide at least one permission name.,
AuthRolesAdminService_InvalidPermission,The permission name '{0}' isn't a valid name in the {1} enum.,
AuthRolesAdminService_UpdateRoleToPermissionsAsync_Success,Successfully updated the role {0}.,
AuthRolesAdminService_IncorrectRoleName,Could not find a role called {0},
AuthRolesAdminService_DeleteRoleAsync_RoleUsedUser,That role is used in {0} AuthUsers and you didn't confirm the delete.,
AuthRolesAdminService_DeleteRoleAsync_RoleUsedTenant,That role is used in {0} tenants and you didn't confirm the delete.,
AuthRolesAdminService_DeleteRoleAsync_Success,Successfully deleted the role {0}.,
AuthRolesAdminService_DeleteRoleAsync_Success-RemoveUsers,Successfully deleted the role {0} and removed that role from {0} users.,
AuthRolesAdminService_DeleteRoleAsync_Success-RemoveTenants,Successfully deleted the role {0} and removed that role from {0} tenants..,
AuthRolesAdminService_DeleteRoleAsync_Success-RemoveUsers-RemoveTenants,Successfully deleted the role {0} and removed that role from {0} users and removed that role from {0} tenants.,
AuthTenantAdminService_TenantNotFound,Could not find the tenant you were looking for.,
AuthTenantAdminService_AddSingleTenantAsync_Success,Successfully added the new tenant {0}.,
AuthTenantAdminService_AddSingleTenantAsync_HasOwnDbInvalid,The 'hasOwnDb' parameter must be set to true or false when sharding is turned on.,
AuthTenantAdminService_AddSingleTenantAsync_ExceptionFail,The attempt to create a tenant failed with a system error. Please contact the admin team.,
AuthTenantAdminService_AddHierarchicalTenantAsync_NameBadChar,The tenant name must not contain the character '|' because that character is used to separate the names in the hierarchical order.,
AuthTenantAdminService_ParentNotFound,Could not find the parent tenant you asked for.,
AuthTenantAdminService_AddHierarchicalTenantAsync_Success,Successfully added the new hierarchical tenant {0}.,
AuthTenantAdminService_AddHierarchicalTenantAsync_InvalidHasOwnDb,The {0} parameter doesn't match the parent's {0}. Set the {1} parameter to null to use the parent's {0} value.,
AuthTenantAdminService_AddHierarchicalTenantAsync_InvalidDatabaseInfoName,The {0} parameter doesn't match the parent's {0}. Set the {1} parameter to null to use the parent's {0} value.,
AuthTenantAdminService_AddHierarchicalTenantAsync_HasOwnDbNotSet,The hasOwnDb parameter must be set to true or false if there is no parent and sharding is turned on.,
AuthTenantAdminService_UpdateTenantRolesAsync_Success,Successfully updated the tenant's Roles.,
AuthTenantAdminService_UpdateTenantNameAsync_Success,Successfully updated the tenant's name to {0}.,
AuthTenantAdminService_UpdateTenantNameAsync_TenantNameEmpty,The new tenant name was empty.,
AuthTenantAdminService_MoveHierarchicalTenantToAnotherParentAsync_Success,Successfully moved the tenant to the database defined by the database information with the name '{0}'.,
AuthTenantAdminService_MoveHierarchicalTenantToAnotherParentAsync_ChildIsInvalid,"For hierarchical tenants you must provide the top tenant's TenantId, not a child tenant.",
AuthTenantAdminService_MoveHierarchicalTenantToAnotherParentAsync_NoMoveToSelf,You cannot move a tenant to itself.,
AuthTenantAdminService_MoveHierarchicalTenantToAnotherParentAsync_ParentIsChild,You cannot move a tenant one of its children.,
AuthTenantAdminService_MoveHierarchicalTenantToAnotherParentAsync_NoChange,"You didn't change any of the sharding parts, so nothing was changed.",
AuthTenantAdminService_MoveHierarchicalTenantToAnotherParentAsync_SuccessNotMoved,The tenant wasn't moved but its {0} was changed to {1}.,
AuthTenantAdminService_MoveHierarchicalTenantToAnotherParentAsync_Success-ToTenant,Successfully moved the tenant originally named '{0}' to the new named '{0}'.,
AuthTenantAdminService_MoveHierarchicalTenantToAnotherParentAsync_Success-ToTop,Successfully moved the tenant originally named '{0}' to top level.,
AuthTenantAdminService_DeleteTenantAsync_BeingUsedAbort,This delete is aborted because this {0} linked to the user '{1}'.,
AuthTenantAdminService_DeleteTenantAsync_Success,Successfully deleted the tenant called '{0}'.,
AuthTenantAdminService_DeleteTenantAsync_Success-AndLinked,Successfully deleted the tenant called '{0}' and its {0} linked tenants.,
AuthTenantAdminService_MoveToDifferentDatabaseAsync_Success,The tenant wasn't moved but its {0} was changed to {1}.,
AuthTenantAdminService_MoveToDifferentDatabaseAsync_ChildIsInvalid,"For hierarchical tenants you must provide the top tenant's TenantId, not a child tenant.",
AuthTenantAdminService_MoveToDifferentDatabaseAsync_NoChange,"You didn't change any of the sharding parts, so nothing was changed.",
AuthTenantAdminService_MoveToDifferentDatabaseAsync_SuccessNotMoved,The tenant wasn't moved but its {0} was changed to {1}.,
AuthTenantAdminService_CheckHasOwnDbIsValidAsync_InvalidDatabase,"The {0} parameter is true, but the sharding database name '{0}' already has tenant(s) using that database.",
AuthTenantAdminService_GetRolesWithChecksAsync_RoleNotFound,The Role '{0}' was not found in the lists of Roles.,
AuthUsersAdminService_UserNotFound,Could not find the User you asked for.,
AuthUsersAdminService_FindAuthUserByEmailAsync_UserNotFoundEmail,Could not find the AuthP User with the email of '{0}'.,
AuthUsersAdminService_UpdateDisabledAsync_Success,Successfully changed the user's {0} to {1}.,
AuthUsersAdminService_AddNewUserAsync_Success,Successfully added a AuthUser with the name '{0}'.,
AuthUsersAdminService_InvalidEmail,The email '{0}' is not a valid email.,
AuthUsersAdminService_TenantNotFound,A tenant with the name '{0}' wasn't found.,
AuthUsersAdminService_UpdateUserAsync_Success,Successfully updated a AuthUser with the name {0l},
AuthUsersAdminService_DeleteUserAsync_Success,Successfully deleted the user '{0}'.,
AuthUsersAdminService_ApplySyncChangesAsync_Success,Sync successful: {0}.,
AuthUsersAdminService_FindCheckRolesAreValidForUserAsync_RoleNotFound,The Role '{0}' was not found in the lists of Roles.,
